Point ID,vtkOriginalPointIds,Points_0,Points_1,Points_2,Points_Magnitude,p,u_0,u_1,u_2,u_Magnitude
0,117878,-1.006940e+01,-1.393070e+01,4.899700e+01,5.192459e+01,4.286023e-01,8.743976e-02,2.313045e-01,1.210720e-01,2.753288e-01
1,117879,-9.897290e+00,-1.384450e+01,4.871030e+01,5.159767e+01,4.278947e-01,9.551854e-02,2.526753e-01,1.322581e-01,3.007671e-01
2,117887,-1.038690e+01,-1.376790e+01,4.891350e+01,5.186495e+01,4.282764e-01,9.096362e-02,2.406262e-01,1.259513e-01,2.864246e-01
3,117912,-1.015650e+01,-1.376900e+01,4.875120e+01,5.166642e+01,4.281343e-01,9.744254e-02,2.577649e-01,1.349222e-01,3.068253e-01
4,117921,-1.005980e+01,-1.368680e+01,4.852540e+01,5.141247e+01,4.279095e-01,1.012997e-01,2.679683e-01,1.402630e-01,3.189707e-01
5,117923,-1.035420e+01,-1.363260e+01,4.863180e+01,5.155685e+01,4.281656e-01,9.890167e-02,2.616248e-01,1.369426e-01,3.114198e-01
6,136384,-9.959860e+00,-1.358850e+01,4.875260e+01,5.158161e+01,4.288007e-01,9.878123e-02,2.608149e-01,1.362100e-01,3.103793e-01
7,136385,-1.014760e+01,-1.366520e+01,4.900790e+01,5.187953e+01,4.288227e-01,9.180210e-02,2.418103e-01,1.268084e-01,2.880629e-01
8,156710,-1.019140e+01,-1.353380e+01,4.877660e+01,5.163512e+01,4.287147e-01,9.734357e-02,2.608898e-01,1.360031e-01,3.098969e-01
9,156713,-9.943910e+00,-1.375150e+01,4.905250e+01,5.190504e+01,4.282370e-01,8.816718e-02,2.328463e-01,1.224365e-01,2.774554e-01
